Date,Time,Location,Type,Status
2026-07-05,10:03:41,Room 201,Smoke Triggered,Pending
2026-07-05,10:03:46,Room 201,Smoke Triggered,Pending
2026-07-05,10:03:52,Room 201,Smoke Triggered,Pending
2026-07-05,10:03:58,Room 201,Smoke Triggered,Pending
2026-07-05,10:04:04,Room 201,Smoke Triggered,Pending
2026-07-05,10:04:12,Room 201,Smoke Triggered,Pending
2026-07-05,10:04:19,Room 201,Smoke Triggered,Pending
2026-07-05,10:04:26,Room 201,Smoke Triggered,Pending
2026-07-05,10:04:31,Room 201,Smoke Triggered,Pending
2026-07-05,10:04:37,Room 201,Smoke Triggered,Pending
2026-07-05,10:05:15,Room 201,Smoke Triggered,Pending
2026-07-05,10:05:24,Room 201,Smoke Triggered,Pending
2026-07-05,10:05:29,Room 201,Smoke Triggered,Pending
2026-07-05,10:05:34,Room 201,Smoke Triggered,Pending
2026-07-05,10:05:49,Room 201,Smoke Triggered,Pending
2026-07-05,10:05:55,Room 201,Smoke Triggered,Pending
2026-07-05,10:06:02,Room 201,Smoke Triggered,Pending
2026-07-05,10:06:09,Room 201,Smoke Triggered,Pending
2026-07-05,10:06:14,Room 201,Smoke Triggered,Pending
2026-07-05,10:06:22,Room 201,Smoke Triggered,Pending
2026-07-05,10:06:37,Room 201,Smoke Triggered,Pending
2026-07-05,10:06:46,Room 201,Smoke Triggered,Pending
2026-07-05,10:06:52,Room 201,Smoke Triggered,Pending
2026-07-05,10:06:58,Room 201,Smoke Triggered,Pending
2026-07-05,10:07:03,Room 201,Smoke Triggered,Pending
2026-07-05,10:19:41,Room 201,Smoke Triggered,Pending
2026-07-05,10:19:46,Room 201,Smoke Triggered,Pending
2026-07-05,10:19:52,Room 201,Smoke Triggered,Pending
2026-07-05,10:20:01,Room 201,Smoke Triggered,Pending
2026-07-05,10:20:08,Room 201,Smoke Triggered,Pending
2026-07-05,10:20:38,Room 201,Smoke Triggered,Pending
2026-07-05,10:20:44,Room 201,Smoke Triggered,Pending
2026-07-05,10:20:53,Room 201,Smoke Triggered,Pending
2026-07-05,10:20:58,Room 201,Smoke Triggered,Pending
2026-07-05,10:21:03,Room 201,Smoke Triggered,Pending
2026-07-05,10:21:09,Room 201,Smoke Triggered,Pending
2026-07-05,10:21:15,Room 201,Smoke Triggered,Pending
2026-07-05,10:21:20,Room 201,Smoke Triggered,Pending
2026-07-05,10:21:29,Room 201,Smoke Triggered,Pending
2026-07-05,10:21:35,Room 201,Smoke Triggered,Pending
2026-07-05,10:21:41,Room 201,Smoke Triggered,Pending
2026-07-05,10:21:47,Room 201,Smoke Triggered,Pending
2026-07-05,10:21:54,Room 201,Smoke Triggered,Pending
2026-07-05,10:22:00,Room 201,Smoke Triggered,Pending
2026-07-05,10:22:05,Room 201,Smoke Triggered,Pending
2026-07-05,10:22:12,Room 201,Smoke Triggered,Pending
2026-07-05,10:22:18,Room 201,Smoke Triggered,Pending
2026-07-05,10:22:25,Room 201,Smoke Triggered,Pending
2026-07-05,10:22:31,Room 201,Smoke Triggered,Pending
2026-07-05,10:22:37,Room 201,Smoke Triggered,Pending
2026-07-05,10:22:42,Room 201,Smoke Triggered,Pending
2026-07-05,10:22:48,Room 201,Smoke Triggered,Pending
2026-07-05,10:22:53,Room 201,Smoke Triggered,Pending
2026-07-05,10:23:08,Room 201,Smoke Triggered,Pending
2026-07-05,10:23:13,Room 201,Smoke Triggered,Pending
2026-07-05,10:23:18,Room 201,Smoke Triggered,Pending
2026-07-05,10:23:25,Room 201,Smoke Triggered,Pending
2026-07-05,10:25:16,Room 201,Smoke Triggered,Pending
2026-07-05,10:25:21,Room 201,Smoke Triggered,Pending
2026-07-05,10:25:27,Room 201,Smoke Triggered,Pending
2026-07-05,10:25:32,Room 201,Smoke Triggered,Pending
2026-07-05,10:25:40,Room 201,Smoke Triggered,Pending
2026-07-05,10:25:46,Room 201,Smoke Triggered,Pending
2026-07-05,10:25:54,Room 201,Smoke Triggered,Pending
2026-07-05,10:26:03,Room 201,Smoke Triggered,Pending
2026-07-05,10:26:10,Room 201,Smoke Triggered,Pending
